SLNO,Problem,Difficulty
1386,1386. Cinema Seat Allocation,Med.
1387,1387. Sort Integers by The Power Value,Med.
1388,1388. Pizza With 3n Slices,Hard
1389,1389. Create Target Array in the Given Order,Easy
1390,1390. Four Divisors,Med.
1391,1391. Check if There is a Valid Path in a Grid,Med.
1392,1392. Longest Happy Prefix,Hard
1393,1393. Capital Gain/Loss,Med.
1394,1394. Find Lucky Integer in an Array,Easy
1395,1395. Count Number of Teams,Med.
1396,1396. Design Underground System,Med.
1397,1397. Find All Good Strings,Hard
1398,1398. Customers Who Bought Products A and B but Not C,Med.
1399,1399. Count Largest Group,Easy
1400,1400. Construct K Palindrome Strings,Med.
1401,1401. Circle and Rectangle Overlapping,Med.
1402,1402. Reducing Dishes,Hard
1403,1403. Minimum Subsequence in Non-Increasing Order,Easy
1404,1404. Number of Steps to Reduce a Number in Binary Representation to One,Med.
1405,1405. Longest Happy String,Med.
1406,1406. Stone Game III,Hard
1407,1407. Top Travellers,Easy
1408,1408. String Matching in an Array,Easy
1409,1409. Queries on a Permutation With Key,Med.
1410,1410. HTML Entity Parser,Med.
1411,1411. Number of Ways to Paint N × 3 Grid,Hard
1412,1412. Find the Quiet Students in All Exams,Hard
1413,1413. Minimum Value to Get Positive Step by Step Sum,Easy
1414,1414. Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,Med.
1415,1415. The k-th Lexicographical String of All Happy Strings of Length n,Med.
1416,1416. Restore The Array,Hard
1417,1417. Reformat The String,Easy
1418,1418. Display Table of Food Orders in a Restaurant,Med.
1419,1419. Minimum Number of Frogs Croaking,Med.
1420,1420. Build Array Where You Can Find The Maximum Exactly K Comparisons,Hard
1421,1421. NPV Queries,Easy
1422,1422. Maximum Score After Splitting a String,Easy
1423,1423. Maximum Points You Can Obtain from Cards,Med.
1424,1424. Diagonal Traverse II,Med.
1425,1425. Constrained Subsequence Sum,Hard
1426,1426. Counting Elements,Easy
1427,1427. Perform String Shifts,Easy
1428,1428. Leftmost Column with at Least a One,Med.
1429,1429. First Unique Number,Med.
1430,1430. Check If a String Is a Valid Sequence from Root to Leaves Path in a Binary Tree,Med.
1431,1431. Kids With the Greatest Number of Candies,Easy
1432,1432. Max Difference You Can Get From Changing an Integer,Med.
1433,1433. Check If a String Can Break Another String,Med.
1434,1434. Number of Ways to Wear Different Hats to Each Other,Hard
1435,1435. Create a Session Bar Chart,Easy
1436,1436. Destination City,Easy
1437,1437. Check If All 1's Are at Least Length K Places Away,Easy
1438,1438. Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Med.
1439,1439. Find the Kth Smallest Sum of a Matrix With Sorted Rows,Hard
1440,1440. Evaluate Boolean Expression,Med.
1441,1441. Build an Array With Stack Operations,Med.
1442,1442. Count Triplets That Can Form Two Arrays of Equal XOR,Med.
1443,1443. Minimum Time to Collect All Apples in a Tree,Med.
1444,1444. Number of Ways of Cutting a Pizza,Hard
1445,1445. Apples & Oranges,Med.
1446,1446. Consecutive Characters,Easy
1447,1447. Simplified Fractions,Med.
1448,1448. Count Good Nodes in Binary Tree,Med.
1449,1449. Form Largest Integer With Digits That Add up to Target,Hard
1450,1450. Number of Students Doing Homework at a Given Time,Easy
1451,1451. Rearrange Words in a Sentence,Med.
1452,1452. People Whose List of Favorite Companies Is Not a Subset of Another List,Med.
1453,1453. Maximum Number of Darts Inside of a Circular Dartboard,Hard
1454,1454. Active Users,Med.
1455,1455. Check If a Word Occurs As a Prefix of Any Word in a Sentence,Easy
1456,1456. Maximum Number of Vowels in a Substring of Given Length,Med.
1457,1457. Pseudo-Palindromic Paths in a Binary Tree,Med.
1458,1458. Max Dot Product of Two Subsequences,Hard
1459,1459. Rectangles Area,Med.
1460,1460. Make Two Arrays Equal by Reversing Subarrays,Easy
1461,1461. Check If a String Contains All Binary Codes of Size K,Med.
1462,1462. Course Schedule IV,Med.
1463,1463. Cherry Pickup II,Hard
1464,1464. Maximum Product of Two Elements in an Array,Easy
1465,1465. Maximum Area of a Piece of Cake After Horizontal and Vertical Cuts,Med.
1466,1466. Reorder Routes to Make All Paths Lead to the City Zero,Med.
1467,1467. Probability of a Two Boxes Having The Same Number of Distinct Balls,Hard
1468,1468. Calculate Salaries,Med.
1469,1469. Find All The Lonely Nodes,Easy
1470,1470. Shuffle the Array,Easy
1471,1471. The k Strongest Values in an Array,Med.
1472,1472. Design Browser History,Med.
1473,1473. Paint House III,Hard
1474,1474. Delete N Nodes After M Nodes of a Linked List,Easy
1475,1475. Final Prices With a Special Discount in a Shop,Easy
1476,1476. Subrectangle Queries,Med.
1477,1477. Find Two Non-overlapping Sub-arrays Each With Target Sum,Med.
1478,1478. Allocate Mailboxes,Hard
1479,1479. Sales by Day of the Week,Hard
1480,1480. Running Sum of 1d Array,Easy
1481,1481. Least Number of Unique Integers after K Removals,Med.
1482,1482. Minimum Number of Days to Make m Bouquets,Med.
1483,1483. Kth Ancestor of a Tree Node,Hard
1484,1484. Group Sold Products By The Date,Easy
1485,1485. Clone Binary Tree With Random Pointer,Med.
1486,1486. XOR Operation in an Array,Easy
1487,1487. Making File Names Unique,Med.
1488,1488. Avoid Flood in The City,Med.
1489,1489. Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,Hard
1490,1490. Clone N-ary Tree,Med.
1491,1491. Average Salary Excluding the Minimum and Maximum Salary,Easy
1492,1492. The kth Factor of n,Med.
1493,1493. Longest Subarray of 1's After Deleting One Element,Med.
1494,1494. Parallel Courses II,Hard
1495,1495. Friendly Movies Streamed Last Month,Easy
1496,1496. Path Crossing,Easy
1497,1497. Check If Array Pairs Are Divisible by k,Med.
1498,1498. Number of Subsequences That Satisfy the Given Sum Condition,Med.
1499,1499. Max Value of Equation,Hard
1500,1500. Design a File Sharing System,Med.
1501,1501. Countries You Can Safely Invest In,Med.
1502,1502. Can Make Arithmetic Progression From Sequence,Easy
1503,1503. Last Moment Before All Ants Fall Out of a Plank,Med.
1504,1504. Count Submatrices With All Ones,Med.
1505,1505. Minimum Possible Integer After at Most K Adjacent Swaps On Digits,Hard
1506,1506. Find Root of N-Ary Tree,Med.
1507,1507. Reformat Date,Easy
1508,1508. Range Sum of Sorted Subarray Sums,Med.
1509,1509. Minimum Difference Between Largest and Smallest Value in Three Moves,Med.
1510,1510. Stone Game IV,Hard
1511,1511. Customer Order Frequency,Easy
1512,1512. Number of Good Pairs,Easy
1513,1513. Number of Substrings With Only 1s,Med.
1514,1514. Path with Maximum Probability,Med.
1515,1515. Best Position for a Service Centre,Hard
1516,1516. Move Sub-Tree of N-Ary Tree,Hard
1517,1517. Find Users With Valid E-Mails,Easy
1518,1518. Water Bottles,Easy
1519,1519. Number of Nodes in the Sub-Tree With the Same Label,Med.
1520,1520. Maximum Number of Non-Overlapping Substrings,Hard
1521,1521. Find a Value of a Mysterious Function Closest to Target,Hard
1522,1522. Diameter of N-Ary Tree,Med.
1523,1523. Count Odd Numbers in an Interval Range,Easy
1524,1524. Number of Sub-arrays With Odd Sum,Med.
1525,1525. Number of Good Ways to Split a String,Med.
1526,1526. Minimum Number of Increments on Subarrays to Form a Target Array,Hard
1527,1527. Patients With a Condition,Easy
1528,1528. Shuffle String,Easy
1529,1529. Minimum Suffix Flips,Med.
1530,1530. Number of Good Leaf Nodes Pairs,Med.
1531,1531. String Compression II,Hard
1532,1532. The Most Recent Three Orders,Med.
1533,1533. Find the Index of the Large Integer,Med.
1534,1534. Count Good Triplets,Easy
1535,1535. Find the Winner of an Array Game,Med.
1536,1536. Minimum Swaps to Arrange a Binary Grid,Med.
1537,1537. Get the Maximum Score,Hard
1538,1538. Guess the Majority in a Hidden Array,Med.
1539,1539. Kth Missing Positive Number,Easy
1540,1540. Can Convert String in K Moves,Med.
1541,1541. Minimum Insertions to Balance a Parentheses String,Med.
1542,1542. Find Longest Awesome Substring,Hard
1543,1543. Fix Product Name Format,Easy
1544,1544. Make The String Great,Easy
1545,1545. Find Kth Bit in Nth Binary String,Med.
1546,1546. Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,Med.
1547,1547. Minimum Cost to Cut a Stick,Hard
1548,1548. The Most Similar Path in a Graph,Hard
1549,1549. The Most Recent Orders for Each Product,Med.
1550,1550. Three Consecutive Odds,Easy
1551,1551. Minimum Operations to Make Array Equal,Med.
1552,1552. Magnetic Force Between Two Balls,Med.
1553,1553. Minimum Number of Days to Eat N Oranges,Hard
1554,1554. Strings Differ by One Character,Med.
1555,1555. Bank Account Summary,Med.
1556,1556. Thousand Separator,Easy
1557,1557. Minimum Number of Vertices to Reach All Nodes,Med.
1558,1558. Minimum Numbers of Function Calls to Make Target Array,Med.
1559,1559. Detect Cycles in 2D Grid,Med.
1560,1560. Most Visited Sector in a Circular Track,Easy
1561,1561. Maximum Number of Coins You Can Get,Med.
1562,1562. Find Latest Group of Size M,Med.
1563,1563. Stone Game V,Hard
1564,1564. Put Boxes Into the Warehouse I,Med.
1565,1565. Unique Orders and Customers Per Month,Easy
1566,1566. Detect Pattern of Length M Repeated K or More Times,Easy
1567,1567. Maximum Length of Subarray With Positive Product,Med.
1568,1568. Minimum Number of Days to Disconnect Island,Hard
1569,1569. Number of Ways to Reorder Array to Get Same BST,Hard
1570,1570. Dot Product of Two Sparse Vectors,Med.
1571,1571. Warehouse Manager,Easy
1572,1572. Matrix Diagonal Sum,Easy
1573,1573. Number of Ways to Split a String,Med.
1574,1574. Shortest Subarray to be Removed to Make Array Sorted,Med.
1575,1575. Count All Possible Routes,Hard
1576,1576. Replace All ?'s to Avoid Consecutive Repeating Characters,Easy
1577,1577. Number of Ways Where Square of Number Is Equal to Product of Two Numbers,Med.
1578,1578. Minimum Time to Make Rope Colorful,Med.
1579,1579. Remove Max Number of Edges to Keep Graph Fully Traversable,Hard
1580,1580. Put Boxes Into the Warehouse II,Med.
1581,1581. Customer Who Visited but Did Not Make Any Transactions,Easy
1582,1582. Special Positions in a Binary Matrix,Easy
1583,1583. Count Unhappy Friends,Med.
1584,1584. Min Cost to Connect All Points,Med.
1585,1585. Check If String Is Transformable With Substring Sort Operations,Hard
1586,1586. Binary Search Tree Iterator II,Med.
1587,1587. Bank Account Summary II,Easy
1588,1588. Sum of All Odd Length Subarrays,Easy
1589,1589. Maximum Sum Obtained of Any Permutation,Med.
1590,1590. Make Sum Divisible by P,Med.
1591,1591. Strange Printer II,Hard
1592,1592. Rearrange Spaces Between Words,Easy
1593,1593. Split a String Into the Max Number of Unique Substrings,Med.
1594,1594. Maximum Non Negative Product in a Matrix,Med.
1595,1595. Minimum Cost to Connect Two Groups of Points,Hard
1596,1596. The Most Frequently Ordered Products for Each Customer,Med.
1597,1597. Build Binary Expression Tree From Infix Expression,Hard
1598,1598. Crawler Log Folder,Easy
1599,1599. Maximum Profit of Operating a Centennial Wheel,Med.
1600,1600. Throne Inheritance,Med.
1601,1601. Maximum Number of Achievable Transfer Requests,Hard
1602,1602. Find Nearest Right Node in Binary Tree,Med.
1603,1603. Design Parking System,Easy
1604,1604. Alert Using Same Key-Card Three or More Times in a One Hour Period,Med.
1605,1605. Find Valid Matrix Given Row and Column Sums,Med.
1606,1606. Find Servers That Handled Most Number of Requests,Hard
1607,1607. Sellers With No Sales,Easy
1608,1608. Special Array With X Elements Greater Than or Equal X,Easy
1609,1609. Even Odd Tree,Med.
1610,1610. Maximum Number of Visible Points,Hard
1611,1611. Minimum One Bit Operations to Make Integers Zero,Hard
1612,1612. Check If Two Expression Trees are Equivalent,Med.
1613,1613. Find the Missing IDs,Med.
1614,1614. Maximum Nesting Depth of the Parentheses,Easy
1615,1615. Maximal Network Rank,Med.
1616,1616. Split Two Strings to Make Palindrome,Med.
1617,1617. Count Subtrees With Max Distance Between Cities,Hard
1618,1618. Maximum Font to Fit a Sentence in a Screen,Med.
1619,1619. Mean of Array After Removing Some Elements,Easy
1620,1620. Coordinate With Maximum Network Quality,Med.
1621,1621. Number of Sets of K Non-Overlapping Line Segments,Med.
1622,1622. Fancy Sequence,Hard
1623,1623. All Valid Triplets That Can Represent a Country,Easy
1624,1624. Largest Substring Between Two Equal Characters,Easy
1625,1625. Lexicographically Smallest String After Applying Operations,Med.
1626,1626. Best Team With No Conflicts,Med.
1627,1627. Graph Connectivity With Threshold,Hard
1628,1628. Design an Expression Tree With Evaluate Function,Med.
1629,1629. Slowest Key,Easy
1630,1630. Arithmetic Subarrays,Med.
1631,1631. Path With Minimum Effort,Med.
1632,1632. Rank Transform of a Matrix,Hard
1633,1633. Percentage of Users Attended a Contest,Easy
1634,1634. Add Two Polynomials Represented as Linked Lists,Med.
1635,1635. Hopper Company Queries I,Hard
1636,1636. Sort Array by Increasing Frequency,Easy
1637,1637. Widest Vertical Area Between Two Points Containing No Points,Easy
1638,1638. Count Substrings That Differ by One Character,Med.
1639,1639. Number of Ways to Form a Target String Given a Dictionary,Hard
1640,1640. Check Array Formation Through Concatenation,Easy
1641,1641. Count Sorted Vowel Strings,Med.
1642,1642. Furthest Building You Can Reach,Med.
1643,1643. Kth Smallest Instructions,Hard
1644,1644. Lowest Common Ancestor of a Binary Tree II,Med.
1645,1645. Hopper Company Queries II,Hard
1646,1646. Get Maximum in Generated Array,Easy
1647,1647. Minimum Deletions to Make Character Frequencies Unique,Med.
1648,1648. Sell Diminishing-Valued Colored Balls,Med.
1649,1649. Create Sorted Array through Instructions,Hard
1650,1650. Lowest Common Ancestor of a Binary Tree III,Med.
1651,1651. Hopper Company Queries III,Hard
1652,1652. Defuse the Bomb,Easy
1653,1653. Minimum Deletions to Make String Balanced,Med.
1654,1654. Minimum Jumps to Reach Home,Med.
1655,1655. Distribute Repeating Integers,Hard
1656,1656. Design an Ordered Stream,Easy
1657,1657. Determine if Two Strings Are Close,Med.
1658,1658. Minimum Operations to Reduce X to Zero,Med.
1659,1659. Maximize Grid Happiness,Hard
1660,1660. Correct a Binary Tree,Med.
1661,1661. Average Time of Process per Machine,Easy
1662,1662. Check If Two String Arrays are Equivalent,Easy
1663,1663. Smallest String With A Given Numeric Value,Med.
1664,1664. Ways to Make a Fair Array,Med.
1665,1665. Minimum Initial Energy to Finish Tasks,Hard
1666,1666. Change the Root of a Binary Tree,Med.
1667,1667. Fix Names in a Table,Easy
1668,1668. Maximum Repeating Substring,Easy
1669,1669. Merge In Between Linked Lists,Med.
1670,1670. Design Front Middle Back Queue,Med.
1671,1671. Minimum Number of Removals to Make Mountain Array,Hard
1672,1672. Richest Customer Wealth,Easy
1673,1673. Find the Most Competitive Subsequence,Med.
1674,1674. Minimum Moves to Make Array Complementary,Med.
1675,1675. Minimize Deviation in Array,Hard
1676,1676. Lowest Common Ancestor of a Binary Tree IV,Med.
1677,1677. Product's Worth Over Invoices,Easy
1678,1678. Goal Parser Interpretation,Easy
1679,1679. Max Number of K-Sum Pairs,Med.
1680,1680. Concatenation of Consecutive Binary Numbers,Med.
1681,1681. Minimum Incompatibility,Hard
1682,1682. Longest Palindromic Subsequence II,Med.
1683,1683. Invalid Tweets,Easy
1684,1684. Count the Number of Consistent Strings,Easy
1685,1685. Sum of Absolute Differences in a Sorted Array,Med.
1686,1686. Stone Game VI,Med.
1687,1687. Delivering Boxes from Storage to Ports,Hard
1688,1688. Count of Matches in Tournament,Easy
1689,1689. Partitioning Into Minimum Number Of Deci-Binary Numbers,Med.
1690,1690. Stone Game VII,Med.
1691,1691. Maximum Height by Stacking Cuboids,Hard
1692,1692. Count Ways to Distribute Candies,Hard
1693,1693. Daily Leads and Partners,Easy
1694,1694. Reformat Phone Number,Easy
1695,1695. Maximum Erasure Value,Med.
1696,1696. Jump Game VI,Med.
1697,1697. Checking Existence of Edge Length Limited Paths,Hard
1698,1698. Number of Distinct Substrings in a String,Med.
1699,1699. Number of Calls Between Two Persons,Med.
1700,1700. Number of Students Unable to Eat Lunch,Easy
1701,1701. Average Waiting Time,Med.
1702,1702. Maximum Binary String After Change,Med.
1703,1703. Minimum Adjacent Swaps for K Consecutive Ones,Hard
1704,1704. Determine if String Halves Are Alike,Easy
1705,1705. Maximum Number of Eaten Apples,Med.
1706,1706. Where Will the Ball Fall,Med.
1707,1707. Maximum XOR With an Element From Array,Hard
1708,1708. Largest Subarray Length K,Easy
1709,1709. Biggest Window Between Visits,Med.
1710,1710. Maximum Units on a Truck,Easy
1711,1711. Count Good Meals,Med.
1712,1712. Ways to Split Array Into Three Subarrays,Med.
1713,1713. Minimum Operations to Make a Subsequence,Hard
1714,1714. Sum Of Special Evenly-Spaced Elements In Array,Hard
1715,1715. Count Apples and Oranges,Med.
1716,1716. Calculate Money in Leetcode Bank,Easy
1717,1717. Maximum Score From Removing Substrings,Med.
1718,1718. Construct the Lexicographically Largest Valid Sequence,Med.
1719,1719. Number Of Ways To Reconstruct A Tree,Hard
1720,1720. Decode XORed Array,Easy
1721,1721. Swapping Nodes in a Linked List,Med.
1722,1722. Minimize Hamming Distance After Swap Operations,Med.
1723,1723. Find Minimum Time to Finish All Jobs,Hard
1724,1724. Checking Existence of Edge Length Limited Paths II,Hard
1725,1725. Number Of Rectangles That Can Form The Largest Square,Easy
1726,1726. Tuple with Same Product,Med.
1727,1727. Largest Submatrix With Rearrangements,Med.
1728,1728. Cat and Mouse II,Hard
1729,1729. Find Followers Count,Easy
1730,1730. Shortest Path to Get Food,Med.
1731,1731. The Number of Employees Which Report to Each Employee,Easy
1732,1732. Find the Highest Altitude,Easy
1733,1733. Minimum Number of People to Teach,Med.
1734,1734. Decode XORed Permutation,Med.
1735,1735. Count Ways to Make Array With Product,Hard
1736,1736. Latest Time by Replacing Hidden Digits,Easy
1737,1737. Change Minimum Characters to Satisfy One of Three Conditions,Med.
1738,1738. Find Kth Largest XOR Coordinate Value,Med.
1739,1739. Building Boxes,Hard
1740,1740. Find Distance in a Binary Tree,Med.
1741,1741. Find Total Time Spent by Each Employee,Easy
1742,1742. Maximum Number of Balls in a Box,Easy
1743,1743. Restore the Array From Adjacent Pairs,Med.
1744,1744. Can You Eat Your Favorite Candy on Your Favorite Day?,Med.
1745,1745. Palindrome Partitioning IV,Hard
1746,1746. Maximum Subarray Sum After One Operation,Med.
1747,1747. Leetflex Banned Accounts,Med.
1748,1748. Sum of Unique Elements,Easy
1749,1749. Maximum Absolute Sum of Any Subarray,Med.
1750,1750. Minimum Length of String After Deleting Similar Ends,Med.
1751,1751. Maximum Number of Events That Can Be Attended II,Hard
1752,1752. Check if Array Is Sorted and Rotated,Easy
1753,1753. Maximum Score From Removing Stones,Med.
1754,1754. Largest Merge Of Two Strings,Med.
1755,1755. Closest Subsequence Sum,Hard
1756,1756. Design Most Recently Used Queue,Med.
1757,1757. Recyclable and Low Fat Products,Easy
1758,1758. Minimum Changes To Make Alternating Binary String,Easy
1759,1759. Count Number of Homogenous Substrings,Med.
1760,1760. Minimum Limit of Balls in a Bag,Med.
1761,1761. Minimum Degree of a Connected Trio in a Graph,Hard
1762,1762. Buildings With an Ocean View,Med.
1763,1763. Longest Nice Substring,Easy
1764,1764. Form Array by Concatenating Subarrays of Another Array,Med.
1765,1765. Map of Highest Peak,Med.
1766,1766. Tree of Coprimes,Hard
1767,1767. Find the Subtasks That Did Not Execute,Hard
1768,1768. Merge Strings Alternately,Easy
1769,1769. Minimum Number of Operations to Move All Balls to Each Box,Med.
1770,1770. Maximum Score from Performing Multiplication Operations,Hard
1771,1771. Maximize Palindrome Length From Subsequences,Hard
1772,1772. Sort Features by Popularity,Med.
1773,1773. Count Items Matching a Rule,Easy
1774,1774. Closest Dessert Cost,Med.
1775,1775. Equal Sum Arrays With Minimum Number of Operations,Med.
1776,1776. Car Fleet II,Hard
1777,1777. Product's Price for Each Store,Easy
1778,1778. Shortest Path in a Hidden Grid,Med.
1779,1779. Find Nearest Point That Has the Same X or Y Coordinate,Easy
1780,1780. Check if Number is a Sum of Powers of Three,Med.
1781,1781. Sum of Beauty of All Substrings,Med.
1782,1782. Count Pairs Of Nodes,Hard
1783,1783. Grand Slam Titles,Med.
1784,1784. Check if Binary String Has at Most One Segment of Ones,Easy
1785,1785. Minimum Elements to Add to Form a Given Sum,Med.
1786,1786. Number of Restricted Paths From First to Last Node,Med.
1787,1787. Make the XOR of All Segments Equal to Zero,Hard
1788,1788. Maximize the Beauty of the Garden,Hard
1789,1789. Primary Department for Each Employee,Easy
1790,1790. Check if One String Swap Can Make Strings Equal,Easy
1791,1791. Find Center of Star Graph,Easy
1792,1792. Maximum Average Pass Ratio,Med.
1793,1793. Maximum Score of a Good Subarray,Hard
1794,1794. Count Pairs of Equal Substrings With Minimum Difference,Med.
1795,1795. Rearrange Products Table,Easy
1796,1796. Second Largest Digit in a String,Easy
1797,1797. Design Authentication Manager,Med.
1798,1798. Maximum Number of Consecutive Values You Can Make,Med.
1799,1799. Maximize Score After N Operations,Hard
1800,1800. Maximum Ascending Subarray Sum,Easy
1801,1801. Number of Orders in the Backlog,Med.
1802,1802. Maximum Value at a Given Index in a Bounded Array,Med.
1803,1803. Count Pairs With XOR in a Range,Hard
1804,1804. Implement Trie II (Prefix Tree),Med.
1805,1805. Number of Different Integers in a String,Easy
1806,1806. Minimum Number of Operations to Reinitialize a Permutation,Med.
1807,1807. Evaluate the Bracket Pairs of a String,Med.
1808,1808. Maximize Number of Nice Divisors,Hard
1809,1809. Ad-Free Sessions,Easy
1810,1810. Minimum Path Cost in a Hidden Grid,Med.
1811,1811. Find Interview Candidates,Med.
1812,1812. Determine Color of a Chessboard Square,Easy
1813,1813. Sentence Similarity III,Med.
1814,1814. Count Nice Pairs in an Array,Med.
1815,1815. Maximum Number of Groups Getting Fresh Donuts,Hard
1816,1816. Truncate Sentence,Easy
1817,1817. Finding the Users Active Minutes,Med.
1818,1818. Minimum Absolute Sum Difference,Med.
1819,1819. Number of Different Subsequences GCDs,Hard
1820,1820. Maximum Number of Accepted Invitations,Med.
1821,1821. Find Customers With Positive Revenue this Year,Easy
1822,1822. Sign of the Product of an Array,Easy
1823,1823. Find the Winner of the Circular Game,Med.
1824,1824. Minimum Sideway Jumps,Med.
1825,1825. Finding MK Average,Hard
1826,1826. Faulty Sensor,Easy
1827,1827. Minimum Operations to Make the Array Increasing,Easy
1828,1828. Queries on Number of Points Inside a Circle,Med.
1829,1829. Maximum XOR for Each Query,Med.
1830,1830. Minimum Number of Operations to Make String Sorted,Hard
1831,1831. Maximum Transaction Each Day,Med.
1832,1832. Check if the Sentence Is Pangram,Easy
1833,1833. Maximum Ice Cream Bars,Med.
1834,1834. Single-Threaded CPU,Med.
1835,1835. Find XOR Sum of All Pairs Bitwise AND,Hard
1836,1836. Remove Duplicates From an Unsorted Linked List,Med.
1837,1837. Sum of Digits in Base K,Easy
1838,1838. Frequency of the Most Frequent Element,Med.
1839,1839. Longest Substring Of All Vowels in Order,Med.
1840,1840. Maximum Building Height,Hard
1841,1841. League Statistics,Med.
1842,1842. Next Palindrome Using Same Digits,Hard
1843,1843. Suspicious Bank Accounts,Med.
1844,1844. Replace All Digits with Characters,Easy
1845,1845. Seat Reservation Manager,Med.
1846,1846. Maximum Element After Decreasing and Rearranging,Med.
1847,1847. Closest Room,Hard
1848,1848. Minimum Distance to the Target Element,Easy
1849,1849. Splitting a String Into Descending Consecutive Values,Med.
1850,1850. Minimum Adjacent Swaps to Reach the Kth Smallest Number,Med.
1851,1851. Minimum Interval to Include Each Query,Hard
1852,1852. Distinct Numbers in Each Subarray,Med.
1853,1853. Convert Date Format,Easy
1854,1854. Maximum Population Year,Easy
1855,1855. Maximum Distance Between a Pair of Values,Med.
1856,1856. Maximum Subarray Min-Product,Med.
1857,1857. Largest Color Value in a Directed Graph,Hard
1858,1858. Longest Word With All Prefixes,Med.
1859,1859. Sorting the Sentence,Easy
1860,1860. Incremental Memory Leak,Med.
1861,1861. Rotating the Box,Med.
1862,1862. Sum of Floored Pairs,Hard
1863,1863. Sum of All Subset XOR Totals,Easy
1864,1864. Minimum Number of Swaps to Make the Binary String Alternating,Med.
1865,1865. Finding Pairs With a Certain Sum,Med.
1866,1866. Number of Ways to Rearrange Sticks With K Sticks Visible,Hard
1867,1867. Orders With Maximum Quantity Above Average,Med.
1868,1868. Product of Two Run-Length Encoded Arrays,Med.
1869,1869. Longer Contiguous Segments of Ones than Zeros,Easy
1870,1870. Minimum Speed to Arrive on Time,Med.
1871,1871. Jump Game VII,Med.
1872,1872. Stone Game VIII,Hard
1873,1873. Calculate Special Bonus,Easy
1874,1874. Minimize Product Sum of Two Arrays,Med.
1875,1875. Group Employees of the Same Salary,Med.
1876,1876. Substrings of Size Three with Distinct Characters,Easy
1877,1877. Minimize Maximum Pair Sum in Array,Med.
1878,1878. Get Biggest Three Rhombus Sums in a Grid,Med.
1879,1879. Minimum XOR Sum of Two Arrays,Hard
1880,1880. Check if Word Equals Summation of Two Words,Easy
1881,1881. Maximum Value after Insertion,Med.
1882,1882. Process Tasks Using Servers,Med.
1883,1883. Minimum Skips to Arrive at Meeting On Time,Hard
1884,1884. Egg Drop With 2 Eggs and N Floors,Med.
1885,1885. Count Pairs in Two Arrays,Med.
1886,1886. Determine Whether Matrix Can Be Obtained By Rotation,Easy
1887,1887. Reduction Operations to Make the Array Elements Equal,Med.
1888,1888. Minimum Number of Flips to Make the Binary String Alternating,Med.
1889,1889. Minimum Space Wasted From Packaging,Hard
1890,1890. The Latest Login in 2020,Easy
1891,1891. Cutting Ribbons,Med.
1892,1892. Page Recommendations II,Hard
1893,1893. Check if All the Integers in a Range Are Covered,Easy
1894,1894. Find the Student that Will Replace the Chalk,Med.
1895,1895. Largest Magic Square,Med.
1896,1896. Minimum Cost to Change the Final Value of Expression,Hard
1897,1897. Redistribute Characters to Make All Strings Equal,Easy
1898,1898. Maximum Number of Removable Characters,Med.
1899,1899. Merge Triplets to Form Target Triplet,Med.
1900,1900. The Earliest and Latest Rounds Where Players Compete,Hard
1901,1901. Find a Peak Element II,Med.
1902,1902. Depth of BST Given Insertion Order,Med.
1903,1903. Largest Odd Number in String,Easy
1904,1904. The Number of Full Rounds You Have Played,Med.
1905,1905. Count Sub Islands,Med.
1906,1906. Minimum Absolute Difference Queries,Med.
1907,1907. Count Salary Categories,Med.
1908,1908. Game of Nim,Med.
1909,1909. Remove One Element to Make the Array Strictly Increasing,Easy
1910,1910. Remove All Occurrences of a Substring,Med.
1911,1911. Maximum Alternating Subsequence Sum,Med.
1912,1912. Design Movie Rental System,Hard
1913,1913. Maximum Product Difference Between Two Pairs,Easy
1914,1914. Cyclically Rotating a Grid,Med.
1915,1915. Number of Wonderful Substrings,Med.
1916,1916. Count Ways to Build Rooms in an Ant Colony,Hard
1917,1917. Leetcodify Friends Recommendations,Hard
1918,1918. Kth Smallest Subarray Sum,Med.
1919,1919. Leetcodify Similar Friends,Hard
1920,1920. Build Array from Permutation,Easy
1921,1921. Eliminate Maximum Number of Monsters,Med.
1922,1922. Count Good Numbers,Med.
1923,1923. Longest Common Subpath,Hard
1924,1924. Erect the Fence II,Hard
1925,1925. Count Square Sum Triples,Easy
1926,1926. Nearest Exit from Entrance in Maze,Med.
1927,1927. Sum Game,Med.
1928,1928. Minimum Cost to Reach Destination in Time,Hard
1929,1929. Concatenation of Array,Easy
1930,1930. Unique Length-3 Palindromic Subsequences,Med.
1931,1931. Painting a Grid With Three Different Colors,Hard
1932,1932. Merge BSTs to Create Single BST,Hard
1933,1933. Check if String Is Decomposable Into Value-Equal Substrings,Easy
1934,1934. Confirmation Rate,Med.
1935,1935. Maximum Number of Words You Can Type,Easy
1936,1936. Add Minimum Number of Rungs,Med.
1937,1937. Maximum Number of Points with Cost,Med.
1938,1938. Maximum Genetic Difference Query,Hard
1939,1939. Users That Actively Request Confirmation Messages,Easy
1940,1940. Longest Common Subsequence Between Sorted Arrays,Med.
1941,1941. Check if All Characters Have Equal Number of Occurrences,Easy
